Year,Population,Race
1930,56895,White
1940,60370,White
1950,62095,White
1960,56503,White
1970,55248,White
1980,38699,White
1990,27030,White
2000,20170,White
2010,21618,White
2018,24110,White
1930,128,Black
1940,130,Black
1950,108,Black
1960,57,Black
1970,762,Black
1980,5095,Black
1990,15885,Black
2000,18767,Black
2010,14461,Black
2018,14413,Black
1930,,Latinx
1940,,Latinx
1950,,Latinx
1960,,Latinx
1970,2802,Latinx
1980,6621,Latinx
1990,12005,Latinx
2000,17639,Latinx
2010,13433,Latinx
2018,11306,Latinx
1930,,Asian
1940,,Asian
1950,,Asian
1960,,Asian
1970,1620,Asian
1980,4755,Asian
1990,5100,Asian
2000,4063,Asian
2010,3523,Asian
2018,2985,Asian
