Types,Number,Location
1 unit detached,5.8%,Rogers Park
1 unit attached,1.8%,Rogers Park
2 units,3.9%,Rogers Park
3-4 units,9.4%,Rogers Park
5-9 units,25.1%,Rogers Park
10-19 units,12.7%,Rogers Park
20+ units,41.0%,Rogers Park
Mobile Home,0.2%,Rogers Park
Boat/RV/Van,0.0%,Rogers Park
1 unit detached,26.0%,Chicago
1 unit attached,3.5%,Chicago
2 units,14.5%,Chicago
3-4 units,14.9%,Chicago
5-9 units,11.7%,Chicago
10-19 units,4.3%,Chicago
20+ units,24.9%,Chicago
Mobile Home,0.2%,Chicago
Boat/RV/Van,0.0%,Chicago
