Year,Population,Race
1930,39701,White
1940,43413,White
1950,47786,White
1960,63696,White
1970,63561,White
1980,52949,White
1990,47098,White
2000,36403,White
2010,30706,White
2018,32200,White
1930,46,Black
1940,111,Black
1950,115,Black
1960,81,Black
1970,91,Black
1980,436,Black
1990,2045,Black
2000,4962,Black
2010,8015,Black
2018,10320,Black
1930,null,Latinx
1940,null,Latinx
1950,null,Latinx
1960,null,Latinx
1970,1129,Latinx
1980,2266,Latinx
1990,5398,Latinx
2000,11353,Latinx
2010,14701,Latinx
2018,14178,Latinx
1930,null,Asian
1940,null,Asian
1950,null,Asian
1960,null,Asian
1970,560,Asian
1980,5278,Asian
1990,10523,Asian
2000,16347,Asian
2010,16184,Asian
2018,16987,Asian
