Year,Population,Race
1/1/1930,66932,White
1/1/1940,77019,White
1/1/1950,82868,White
1/1/1960,72147,White
1/1/1970,55689,White
1/1/1980,30561,White
1/1/1990,24743,White
1/1/2000,26784,White
1/1/2010,29098,White
1/1/2018,31595,White
1/1/1930,445,Black
1/1/1940,426,Black
1/1/1950,436,Black
1/1/1960,370,Black
1/1/1970,3045,Black
1/1/1980,9416,Black
1/1/1990,15134,Black
1/1/2000,13415,Black
1/1/2010,11275,Black
1/1/2018,10235,Black
1/1/1930,null,Latinx
1/1/1940,null,Latinx
1/1/1950,null,Latinx
1/1/1960,null,Latinx
1/1/1970,9955,Latinx
1/1/1980,14984,Latinx
1/1/1990,14398,Latinx
1/1/2000,12674,Latinx
1/1/2010,8009,Latinx
1/1/2018,8847,Latinx
1/1/1930,null,Asian
1/1/1940,null,Asian
1/1/1950,null,Asian
1/1/1960,null,Asian
1/1/1970,4039,Asian
1/1/1980,8046,Asian
1/1/1990,8859,Asian
1/1/2000,8206,Asian
1/1/2010,6414,Asian
1/1/2018,5806,Asian
