Year,Population,Race
1/1/1930,46384,White
1/1/1940,47137,White
1/1/1950,47233,White
1/1/1960,49544,White
1/1/1970,44759,White
1/1/1980,33991,White
1/1/1990,27068,White
1/1/2000,23716,White
1/1/2010,24916,White
1/1/2018,26897,White
1/1/1930,11,Black
1/1/1940,18,Black
1/1/1950,26,Black
1/1/1960,30,Black
1/1/1970,57,Black
1/1/1980,228,Black
1/1/1990,1087,Black
1/1/2000,1342,Black
1/1/2010,1488,Black
1/1/2018,1492,Black
1/1/1930,null,Latinx
1/1/1940,null,Latinx
1/1/1950,null,Latinx
1/1/1960,null,Latinx
1/1/1970,1995,Latinx
1/1/1980,4973,Latinx
1/1/1990,10353,Latinx
1/1/2000,11831,Latinx
1/1/2010,7562,Latinx
1/1/2018,7726,Latinx
1/1/1930,null,Asian
1/1/1940,null,Asian
1/1/1950,null,Asian
1/1/1960,null,Asian
1/1/1970,732,Asian
1/1/1980,4457,Asian
1/1/1990,5980,Asian
1/1/2000,5921,Asian
1/1/2010,4399,Asian
1/1/2018,3735,Asian
