Year,Population,Race
1/1/1930,47615,White
1/1/1940,48726,White
1/1/1950,47724,White
1/1/1960,43622,White
1/1/1970,36600,White
1/1/1980,26185,White
1/1/1990,21070,White
1/1/2000,21938,White
1/1/2010,24634,White
1/1/2018,27683,White
1/1/1930,19,Black
1/1/1940,19,Black
1/1/1950,17,Black
1/1/1960,48,Black
1/1/1970,140,Black
1/1/1980,390,Black
1/1/1990,992,Black
1/1/2000,1333,Black
1/1/2010,738,Black
1/1/2018,591,Black
1/1/1930,null,Latinx
1/1/1940,null,Latinx
1/1/1950,null,Latinx
1/1/1960,null,Latinx
1/1/1970,2127,Latinx
1/1/1980,6684,Latinx
1/1/1990,9048,Latinx
1/1/2000,6496,Latinx
1/1/2010,4330,Latinx
1/1/2018,4075,Latinx
1/1/1930,null,Asian
1/1/1940,null,Asian
1/1/1950,null,Asian
1/1/1960,null,Asian
1/1/1970,306,Asian
1/1/1980,1680,Asian
1/1/1990,1692,Asian
1/1/2000,1324,Asian
1/1/2010,1449,Asian
1/1/2018,1777,Asian
