Year,Population,Race
1/1/1930,97393,White
1/1/1940,100564,White
1/1/1950,100543,White
1/1/1960,84604,White
1/1/1970,49879,White
1/1/1980,44258,White
1/1/1990,51968,White
1/1/2000,54341,White
1/1/2010,53138,White
1/1/2018,54318,White
1/1/1930,143,Black
1/1/1940,132,Black
1/1/1950,205,Black
1/1/1960,1358,Black
1/1/1970,4904,Black
1/1/1980,4800,Black
1/1/1990,3590,Black
1/1/2000,3323,Black
1/1/2010,2753,Black
1/1/2018,3136,Black
1/1/1930,null,Latinx
1/1/1940,null,Latinx
1/1/1950,null,Latinx
1/1/1960,null,Latinx
1/1/1970,9880,Latinx
1/1/1980,5991,Latinx
1/1/1990,3981,Latinx
1/1/2000,3254,Latinx
1/1/2010,3571,Latinx
1/1/2018,4074,Latinx
1/1/1930,null,Asian
1/1/1940,null,Asian
1/1/1950,null,Asian
1/1/1960,null,Asian
1/1/1970,2254,Asian
1/1/1980,1584,Asian
1/1/1990,1413,Asian
1/1/2000,2325,Asian
1/1/2010,3296,Asian
1/1/2018,5109,Asian
