Year,Population,Race
1/1/1930,53772,White
1/1/1940,55364,White
1/1/1950,54332,White
1/1/1960,50448,White
1/1/1970,52977,White
1/1/1980,37256,White
1/1/1990,31070,White
1/1/2000,29782,White
1/1/2010,30889,White
1/1/2018,31379,White
1/1/1930,86,Black
1/1/1940,111,Black
1/1/1950,91,Black
1/1/1960,53,Black
1/1/1970,373,Black
1/1/1980,6368,Black
1/1/1990,11643,Black
1/1/2000,10564,Black
1/1/2010,8104,Black
1/1/2018,7689,Black
1/1/1930,null,Latinx
1/1/1940,null,Latinx
1/1/1950,null,Latinx
1/1/1960,null,Latinx
1/1/1970,4859,Latinx
1/1/1980,7805,Latinx
1/1/1990,10567,Latinx
1/1/2000,12176,Latinx
1/1/2010,9318,Latinx
1/1/2018,8760,Latinx
1/1/1930,null,Asian
1/1/1940,null,Asian
1/1/1950,null,Asian
1/1/1960,null,Asian
1/1/1970,2580,Asian
1/1/1980,6332,Asian
1/1/1990,7041,Asian
1/1/2000,7172,Asian
1/1/2010,6582,Asian
1/1/2018,7321,Asian
