Year,MFI,Community Area
1/1/1970,63540,Rogers Park
1/1/1970,76044,West Ridge
1/1/1970,47905,Uptown
1/1/1970,63203,Lincoln Square
1/1/1970,59572,North Center
1/1/1970,58920,Lakeview
1/1/1970,52244,Lincoln Park
1/1/1970,66563,Edgewater
1/1/1980,49778,Rogers Park
1/1/1980,66539,West Ridge
1/1/1980,38306,Uptown
1/1/1980,53451,Lincoln Square
1/1/1980,51307,North Center
1/1/1980,54897,Lakeview
1/1/1980,64949,Lincoln Park
1/1/1980,42177,Edgewater
1/1/1990,45597,Rogers Park
1/1/1990,61382,West Ridge
1/1/1990,37335,Uptown
1/1/1990,52393,Lincoln Square
1/1/1990,57959,North Center
1/1/1990,76715,Lakeview
1/1/1990,125272,Lincoln Park
1/1/1990,53639,Edgewater
1/1/2000,43976,Rogers Park
1/1/2000,59811,West Ridge
1/1/2000,45974,Uptown
1/1/2000,61055,Lincoln Square
1/1/2000,78742,North Center
1/1/2000,106949,Lakeview
1/1/2000,168284,Lincoln Park
1/1/2000,53890,Edgewater
1/1/2010,49703,Rogers Park
1/1/2010,54038,West Ridge
1/1/2010,65233,Uptown
1/1/2010,71257,Lincoln Square
1/1/2010,120473,North Center
1/1/2010,130070,Lakeview
1/1/2010,170804,Lincoln Park
1/1/2010,64211,Edgewater
1/1/2018,58338,Rogers Park
1/1/2018,59183,West Ridge
1/1/2018,83378,Uptown
1/1/2018,100943,Lincoln Square
1/1/2018,158416,North Center
1/1/2018,161730,Lakeview
1/1/2018,197527,Lincoln Park
1/1/2018,79337,Edgewater
