Year,MHI,Community Area
1/1/1970," 51,177 ",Rogers Park
1/1/1970," 73,559 ",West Ridge
1/1/1970," 36,114 ",Uptown
1/1/1970," 55,756 ",Lincoln Square
1/1/1970," 52,844 ",North Center
1/1/1970," 47,555 ",Lakeview
1/1/1970," 44,775 ",Lincoln Park
1/1/1970," 52,256 ",Edgewater
1/1/1980," 44,872 ",Rogers Park
1/1/1980," 66,106 ",West Ridge
1/1/1980," 34,771 ",Uptown
1/1/1980," 50,882 ",Lincoln Square
1/1/1980," 50,614 ",North Center
1/1/1980," 51,282 ",Lakeview
1/1/1980," 58,486 ",Lincoln Park
1/1/1980," 44,608 ",Edgewater
1/1/1990," 46,750 ",Rogers Park
1/1/1990," 61,431 ",West Ridge
1/1/1990," 38,553 ",Uptown
1/1/1990," 51,526 ",Lincoln Square
1/1/1990," 56,606 ",North Center
1/1/1990," 62,338 ",Lakeview
1/1/1990," 80,223 ",Lincoln Park
1/1/1990," 48,980 ",Edgewater
1/1/2000," 47,639 ",Rogers Park
1/1/2000," 62,024 ",West Ridge
1/1/2000," 48,735 ",Uptown
1/1/2000," 61,654 ",Lincoln Square
1/1/2000," 78,025 ",North Center
1/1/2000," 81,226 ",Lakeview
1/1/2000," 103,434 ",Lincoln Park
1/1/2000," 53,917 ",Edgewater
1/1/2010," 42,863 ",Rogers Park
1/1/2010," 49,581 ",West Ridge
1/1/2010," 47,480 ",Uptown
1/1/2010," 65,735 ",Lincoln Square
1/1/2010," 93,320 ",North Center
1/1/2010," 78,669 ",Lakeview
1/1/2010," 94,686 ",Lincoln Park
1/1/2010," 46,501 ",Edgewater
1/1/2018," 40,535 ",Rogers Park
1/1/2018," 51,760 ",West Ridge
1/1/2018," 51,653 ",Uptown
1/1/2018," 73,346 ",Lincoln Square
1/1/2018," 114,427 ",North Center
1/1/2018," 87,600 ",Lakeview
1/1/2018," 107,700 ",Lincoln Park
1/1/2018," 52,825 ",Edgewater
