Year,Population,Community Area
1/1/1930,null,Rogers Park
1/1/1930,null,West Ridge
1/1/1930,null,Uptown
1/1/1930,null,Lincoln Square
1/1/1930,null,North Center
1/1/1930,null,Lakeview
1/1/1930,null,Lincoln Park
1/1/1930,null,Edgewater
1/1/1940,null,Rogers Park
1/1/1940,null,West Ridge
1/1/1940,null,Uptown
1/1/1940,null,Lincoln Square
1/1/1940,null,North Center
1/1/1940,null,Lakeview
1/1/1940,null,Lincoln Park
1/1/1940,null,Edgewater
1/1/1950,null,Rogers Park
1/1/1950,null,West Ridge
1/1/1950,null,Uptown
1/1/1950,null,Lincoln Square
1/1/1950,null,North Center
1/1/1950,null,Lakeview
1/1/1950,null,Lincoln Park
1/1/1950,null,Edgewater
1/1/1960,null,Rogers Park
1/1/1960,null,West Ridge
1/1/1960,null,Uptown
1/1/1960,null,Lincoln Square
1/1/1960,null,North Center
1/1/1960,null,Lakeview
1/1/1960,null,Lincoln Park
1/1/1960,null,Edgewater
1/1/1970,1620,Rogers Park
1/1/1970,560,West Ridge
1/1/1970,4039,Uptown
1/1/1970,732,Lincoln Square
1/1/1970,306,North Center
1/1/1970,4313,Lakeview
1/1/1970,2254,Lincoln Park
1/1/1970,2580,Edgewater
1/1/1980,4755,Rogers Park
1/1/1980,5278,West Ridge
1/1/1980,7953,Uptown
1/1/1980,4462,Lincoln Square
1/1/1980,1682,North Center
1/1/1980,4891,Lakeview
1/1/1980,1597,Lincoln Park
1/1/1980,6332,Edgewater
1/1/1990,5100,Rogers Park
1/1/1990,10523,West Ridge
1/1/1990,8859,Uptown
1/1/1990,5980,Lincoln Square
1/1/1990,1692,North Center
1/1/1990,3917,Lakeview
1/1/1990,1413,Lincoln Park
1/1/1990,7041,Edgewater
1/1/2000,4063,Rogers Park
1/1/2000,16347,West Ridge
1/1/2000,8206,Uptown
1/1/2000,5921,Lincoln Square
1/1/2000,1324,North Center
1/1/2000,5143,Lakeview
1/1/2000,2325,Lincoln Park
1/1/2000,7172,Edgewater
1/1/2010,3523,Rogers Park
1/1/2010,16184,West Ridge
1/1/2010,6414,Uptown
1/1/2010,4399,Lincoln Square
1/1/2010,1449,North Center
1/1/2010,5653,Lakeview
1/1/2010,3296,Lincoln Park
1/1/2010,6582,Edgewater
1/1/2018,2985,Rogers Park
1/1/2018,16987,West Ridge
1/1/2018,5806,Uptown
1/1/2018,3735,Lincoln Square
1/1/2018,1777,North Center
1/1/2018,6829,Lakeview
1/1/2018,5109,Lincoln Park
1/1/2018,7321,Edgewater
