Year,Population,Community Area
1/1/1930,,Rogers Park
1/1/1930,,West Ridge
1/1/1930,,Uptown
1/1/1930,,Lincoln Square
1/1/1930,,North Center
1/1/1930,,Lakeview
1/1/1930,,Lincoln Park
1/1/1930,,Edgewater
1/1/1940,,Rogers Park
1/1/1940,,West Ridge
1/1/1940,,Uptown
1/1/1940,,Lincoln Square
1/1/1940,,North Center
1/1/1940,,Lakeview
1/1/1940,,Lincoln Park
1/1/1940,,Edgewater
1/1/1950,,Rogers Park
1/1/1950,,West Ridge
1/1/1950,,Uptown
1/1/1950,,Lincoln Square
1/1/1950,,North Center
1/1/1950,,Lakeview
1/1/1950,,Lincoln Park
1/1/1950,,Edgewater
1/1/1960,,Rogers Park
1/1/1960,,West Ridge
1/1/1960,,Uptown
1/1/1960,,Lincoln Square
1/1/1960,,North Center
1/1/1960,,Lakeview
1/1/1960,,Lincoln Park
1/1/1960,,Edgewater
1/1/1970,2802,Rogers Park
1/1/1970,1129,West Ridge
1/1/1970,9955,Uptown
1/1/1970,1995,Lincoln Square
1/1/1970,2127,North Center
1/1/1970,15504,Lakeview
1/1/1970,9880,Lincoln Park
1/1/1970,4859,Edgewater
1/1/1980,6621,Rogers Park
1/1/1980,2266,West Ridge
1/1/1980,14984,Uptown
1/1/1980,4973,Lincoln Square
1/1/1980,6684,North Center
1/1/1980,18333,Lakeview
1/1/1980,5991,Lincoln Park
1/1/1980,7805,Edgewater
1/1/1990,12005,Rogers Park
1/1/1990,5398,West Ridge
1/1/1990,14398,Uptown
1/1/1990,10353,Lincoln Square
1/1/1990,9048,North Center
1/1/1990,12932,Lakeview
1/1/1990,3981,Lincoln Park
1/1/1990,10567,Edgewater
1/1/2000,17639,Rogers Park
1/1/2000,11353,West Ridge
1/1/2000,12674,Uptown
1/1/2000,11831,Lincoln Square
1/1/2000,6496,North Center
1/1/2000,8268,Lakeview
1/1/2000,3254,Lincoln Park
1/1/2000,12176,Edgewater
1/1/2010,13433,Rogers Park
1/1/2010,14701,West Ridge
1/1/2010,8009,Uptown
1/1/2010,7562,Lincoln Square
1/1/2010,4330,North Center
1/1/2010,7198,Lakeview
1/1/2010,3571,Lincoln Park
1/1/2010,9318,Edgewater
1/1/2018,11306,Rogers Park
1/1/2018,14178,West Ridge
1/1/2018,8847,Uptown
1/1/2018,7726,Lincoln Square
1/1/2018,4075,North Center
1/1/2018,8168,Lakeview
1/1/2018,4074,Lincoln Park
1/1/2018,8760,Edgewater
