Year,Population,Community Area
1/1/1930,56895,Rogers Park
1/1/1930,39701,West Ridge
1/1/1930,66932,Uptown
1/1/1930,46384,Lincoln Square
1/1/1930,47615,North Center
1/1/1930,114435,Lakeview
1/1/1930,97393,Lincoln Park
1/1/1930,53772,Edgewater
1/1/1940,60370,Rogers Park
1/1/1940,43413,West Ridge
1/1/1940,77019,Uptown
1/1/1940,47137,Lincoln Square
1/1/1940,48726,North Center
1/1/1940,120983,Lakeview
1/1/1940,100564,Lincoln Park
1/1/1940,55364,Edgewater
1/1/1950,62095,Rogers Park
1/1/1950,47786,West Ridge
1/1/1950,82868,Uptown
1/1/1950,47233,Lincoln Square
1/1/1950,47724,North Center
1/1/1950,123814,Lakeview
1/1/1950,100543,Lincoln Park
1/1/1950,54332,Edgewater
1/1/1960,56503,Rogers Park
1/1/1960,63696,West Ridge
1/1/1960,72147,Uptown
1/1/1960,49544,Lincoln Square
1/1/1960,43622,North Center
1/1/1960,115018,Lakeview
1/1/1960,84604,Lincoln Park
1/1/1960,50448,Edgewater
1/1/1970,55248,Rogers Park
1/1/1970,63561,West Ridge
1/1/1970,55689,Uptown
1/1/1970,44759,Lincoln Square
1/1/1970,36600,North Center
1/1/1970,92527,Lakeview
1/1/1970,49879,Lincoln Park
1/1/1970,52977,Edgewater
1/1/1980,38699,Rogers Park
1/1/1980,52949,West Ridge
1/1/1980,30561,Uptown
1/1/1980,33991,Lincoln Square
1/1/1980,26185,North Center
1/1/1980,66037,Lakeview
1/1/1980,44258,Lincoln Park
1/1/1980,37256,Edgewater
1/1/1990,27030,Rogers Park
1/1/1990,47098,West Ridge
1/1/1990,24743,Uptown
1/1/1990,27068,Lincoln Square
1/1/1990,21070,North Center
1/1/1990,68204,Lakeview
1/1/1990,51968,Lincoln Park
1/1/1990,31070,Edgewater
1/1/2000,20170,Rogers Park
1/1/2000,36403,West Ridge
1/1/2000,26784,Uptown
1/1/2000,23716,Lincoln Square
1/1/2000,21938,North Center
1/1/2000,75363,Lakeview
1/1/2000,54341,Lincoln Park
1/1/2000,29782,Edgewater
1/1/2010,21618,Rogers Park
1/1/2010,30706,West Ridge
1/1/2010,29098,Uptown
1/1/2010,24916,Lincoln Square
1/1/2010,24634,North Center
1/1/2010,75845,Lakeview
1/1/2010,53138,Lincoln Park
1/1/2010,30889,Edgewater
1/1/2018,24110,Rogers Park
1/1/2018,32200,West Ridge
1/1/2018,31595,Uptown
1/1/2018,26897,Lincoln Square
1/1/2018,27683,North Center
1/1/2018,78805,Lakeview
1/1/2018,54318,Lincoln Park
1/1/2018,31379,Edgewater
